"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"El Salvador","253","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-253097142.857143","-265702857.142857","-323400000","-423100000","-457900000","-490300000","-437500000","-456250000","-389050000","-555970000","-538210000","-618240000","-870560000","-990200000","-1035440000","-1092660000","-1229420000","-1387620881.2541","-1471770359.75043","",
"Malawi","676","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1110300000","-2302700000","-2794100000","-8601430639.56429","-10989837302.0257","-9478266015.88114","-9937343333.29526","-11077732419","-20813839203.9","-17246847798.4","-28666166892.6","-16703376373.18","-27616053862.7141","-39491715436.5838",,,,,,"",
"Chad","628","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","2000000000",,,,,,,,,,,,,,,,,,,"",
"Jordan","439","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","94000000","135600000","84700000","124900000","229600000","289700000","411700000","572300000",,,,,,,,,,,,"",
"West Bank and Gaza","487","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","669200000","326100000","223600000","252900000","232000000","88500000","113600000","168000000","173800000","46100000","21700000","749500000","857500000","1160400000","1482700000","1712300000","1896200000","1991900000",,"",
"Malaysia","548","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-28909000000","-25623000000","-25061000000","-22537000000","-24402000000","-23942000000","-17294000000","-13984000000","-23034000000","-14215000000",,,,,,,,,,"",
"Nigeria","694","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-362410000000","-346996370000","-385930020000","-427312320000","-461437490000",,,,,,,,,,,,,,,"",
"Bangladesh","513","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","87140","88410","125430","165830","175530","189280","272075","352755","483895","559012","646035","725135","893020","964291","895494","984021",,,,"",
"Sri Lanka","524","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-23082588000","-23829631200","-24043000000","-16535000000","-20732000000","-30049000000","-40424000000","-39054000000","-105032000000","-55795000000","-69776000000","-72041000000","-154889210000","-226086200000","-236668778000","-251287701000",,,,"",
"Israel","436","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-33666000000","-22873000000","-20924000000","-20907000000","-17734000000","-5550000000","-2743000000","-981000000","-15111000000","-19472000000","-16231000000","-12609000000","-25542000000","-21478000000","-6720000000","-10032000000","-11124000000","-12844000000","691000000","",
"Colombia","233","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1447593000","-844912000","-276029000","-1255081000","-4741587000","-8492000000000","-10028000000000","-12995000000000","-16467550000000","-15409000000000","-19912490000000","-26471000000000","-25380000000000","-25060000000000","-22668000000000","-11382000000000","-9353000000000","-16970000000000",,"",
